file	sha256	source	config	command	bc_sha256	dosbox	made_by
fpdeep-v-g2.obj	bd2fb5f164243c53635c3a834a5df3d13e6a15962ed01be87705309a9916e0f3	suite/fpdeep.bas	v-g2	BC /O /FPi /R /G2 /E FPDEEP.BAS, F02.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpdeep-v-g3-zd.obj	26b94352f42a6c9a8acc82fcd8afc054826eae7a7c8eb8866b4b70b129e70602	suite/fpdeep.bas	v-g3	BC /O /FPi /R /G3 /E /Zd FPDEEP.BAS, F01.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpdeep-v-g3.obj	41b2082da1e621253ee8b80c38c9d1949b6d1572e2ac4d364ae3302df6dc46bb	suite/fpdeep.bas	v-g3	BC /O /FPi /R /G3 /E FPDEEP.BAS, F00.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpdeep-v-noO.obj	491ab1837d4a6a438ac6b85ef5a52b7173c28ba31c11adbeb1f5f6051f646f9a	suite/fpdeep.bas	v-noO	BC /FPi /R /G3 /E FPDEEP.BAS, F03.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpdeep-v-plain.obj	bc2164a85419fb3e17e8852f9dcdab265ef7dea37e7b35793f0fe84f7980b4ba	suite/fpdeep.bas	v-plain	BC /FPi /R /E FPDEEP.BAS, F04.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpemu-p-evt.obj	2de662efb49a53e1b1c9cb5e9e64befb98aea789a953135bb7c1846f8becf9f3	suite/fpemu.bas	p-evt	BC /O /FPi /G2 /V /W FPEMU.BAS, F10.OBJ;	3112bcc99a8d4d9e28bd16085a4592c3f251fea0dfaf0aa63ca4525d7611028d	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpemu-p-g2-zd.obj	d2aa3aa85704390ff82ff4878f313c52551bdb9934407f0b1ec3a61da00b3782	suite/fpemu.bas	p-g2	BC /O /FPi /G2 /Zd FPEMU.BAS, F07.OBJ;	3112bcc99a8d4d9e28bd16085a4592c3f251fea0dfaf0aa63ca4525d7611028d	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpemu-p-g2.obj	ca6124458d6de8ee52297ef48bc359c68da5949b871d745895d7080ac7d8e782	suite/fpemu.bas	p-g2	BC /O /FPi /G2 FPEMU.BAS, F06.OBJ;	3112bcc99a8d4d9e28bd16085a4592c3f251fea0dfaf0aa63ca4525d7611028d	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpemu-p-noO.obj	3d7ba4e2f4ec6bece8901691e358443d7a34f42f6ac09481c7dcd73e32fba4ff	suite/fpemu.bas	p-noO	BC /FPi /G2 FPEMU.BAS, F09.OBJ;	3112bcc99a8d4d9e28bd16085a4592c3f251fea0dfaf0aa63ca4525d7611028d	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpemu-p-ot.obj	ca6124458d6de8ee52297ef48bc359c68da5949b871d745895d7080ac7d8e782	suite/fpemu.bas	p-ot	BC /O /FPi /G2 /Ot FPEMU.BAS, F08.OBJ;	3112bcc99a8d4d9e28bd16085a4592c3f251fea0dfaf0aa63ca4525d7611028d	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpemu-q-O-zd.obj	8cbe5b95960504009e0a445022df14cdc66cf4446b0f5da91a3b6e2feca2f19b	suite/fpemu.bas	q-O	BC /O /FPi /Zd FPEMU.BAS, F12.OBJ;	de21556c94b588bfca06388a45f6e22362a7c9e153571f5a27c4f95b6740f5fa	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpemu-q-O.obj	2f362c73bbf428826cb6cc97156664b601b5784fbc41d1d2b11d177e0527a2fe	suite/fpemu.bas	q-O	BC /O /FPi FPEMU.BAS, F11.OBJ;	de21556c94b588bfca06388a45f6e22362a7c9e153571f5a27c4f95b6740f5fa	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpemu-q-evt.obj	13357d595ec2dfac97b34a78e905580b754188d793717835a9109aba08e4fdd2	suite/fpemu.bas	q-evt	BC /O /FPi /V /W FPEMU.BAS, F14.OBJ;	de21556c94b588bfca06388a45f6e22362a7c9e153571f5a27c4f95b6740f5fa	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpemu-q-noO.obj	f422bf021f8f4fdfb09bf60cfde130c2b2b7819666c78cbf4d1721c531a3c4ab	suite/fpemu.bas	q-noO	BC /FPi FPEMU.BAS, F13.OBJ;	de21556c94b588bfca06388a45f6e22362a7c9e153571f5a27c4f95b6740f5fa	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpemu-v-evt.obj	3d50c16b0a5a6e3bbd5880fa833cbe9f79a0b0b8d88b3363a5ea17714dcfd86a	suite/fpemu.bas	v-evt	BC /O /FPi /R /G3 /E /V /W FPEMU.BAS, F05.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpemu-v-g2.obj	91e304669791e38167bc6def1bc1cd4a9958abfa95cf0ea91d45fb04a5206da4	suite/fpemu.bas	v-g2	BC /O /FPi /R /G2 /E FPEMU.BAS, F02.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpemu-v-g3-zd.obj	06a303d5c84f35b565ab6112863394eb7333c3f9a16b891602b1f11f20fd1387	suite/fpemu.bas	v-g3	BC /O /FPi /R /G3 /E /Zd FPEMU.BAS, F01.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpemu-v-g3.obj	fc247cd2d8c0393e003c234c4181a3a29bdd3eea53ff4adfd54630675ab0746a	suite/fpemu.bas	v-g3	BC /O /FPi /R /G3 /E FPEMU.BAS, F00.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpemu-v-noO.obj	10949d91f813e618f589968ea19663d3c390c222770bea272229a739415b3c7c	suite/fpemu.bas	v-noO	BC /FPi /R /G3 /E FPEMU.BAS, F03.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
fpemu-v-plain.obj	e7e022129721093a0890700a4fcbe90db9be27c0ace608b4b11a1d7ca92340f7	suite/fpemu.bas	v-plain	BC /FPi /R /E FPEMU.BAS, F04.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
jumptable.obj	34940e4411010af8b011cb5eb96e286728df56151cfee2d2f226f8064a333779	unrecorded -- predates this script, provenance lost	unknown	unknown	unknown	unknown	unknown
pds-g2.obj	1a5267cb564f0db453fdb98588120f3f9d24bb8039985d04215d08d9aa78815a	unrecorded -- predates this script, provenance lost	unknown	unknown	unknown	unknown	unknown
qb45.obj	56359e5a683629bacbbda0dc11d8cc134ac4c25b352df10d2de80b12faccde79	unrecorded -- predates this script, provenance lost	unknown	unknown	unknown	unknown	unknown
vbdos-g2.obj	74255ab9898e9192d5f1b6729708d110ca37073ac78c87a15cf07675c7463113	unrecorded -- predates this script, provenance lost	unknown	unknown	unknown	unknown	unknown
vbdos-g3.obj	9d5bb88aa49b727bea9de190b462e6abcea931d980b3bf10e453fd78df547518	unrecorded -- predates this script, provenance lost	unknown	unknown	unknown	unknown	unknown
